Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Nonresidential private fixed investment in structures,Change in private inventories,Exports of goods and services,National defense: Consumption expenditures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national defense: Gross investment in structures,Nondefense: Consumption expenditures,Federal nondefense: Gross investment in equipment,Federal nondefense: Gross investment in intellectual property products,Federal nondefense: Gross investment in structures,State and local government consumption expenditures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,State and local: Gross investment in structures,Total use of products
Rail transportation,---,---,---,---,---,113,1,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,1,---,---,0,102,7,6,---,43,0,25,---,4825,---,6,195,6,---,---,170,1,7,4,89,---,---,---,22,21,16,242,1,98,---,---,6,33,---,---,---,---,---,---,10,161,126,930,298,---,7565,1461,---,---,---,---,---,1393,---,---,---,---,---,---,---,---,---,---,---,---,10419
Water transportation,---,---,---,---,---,0,0,---,---,---,---,0,---,---,---,---,---,---,---,---,---,---,---,---,0,---,0,0,---,---,---,---,---,---,---,---,7,---,---,---,---,0,---,---,---,---,---,---,---,0,---,---,708,54,0,0,140,0,33,---,0,0,---,---,---,0,2077,156,1479,309,---,4963,28176,---,---,---,---,---,5456,---,---,---,---,---,---,---,---,---,---,---,---,38595
Truck transportation,151,---,---,---,64,0,---,85,80,124,283,134,39,51,122,68,68,183,153,45,16,183,53,179,102,226,6182,3232,1342,916,7609,1069,153,85,15920,245,36,5625,1225,108,73,3,470,0,0,10,4,---,---,683,80,135,1519,7,372,66,43,240,476,31,88,37,10,15,245,197,5602,76,1395,480,21,58535,14002,---,---,---,---,---,1831,---,---,---,---,---,---,---,---,---,---,---,---,74368
Transit and ground passenger transportation,---,1,2,5,70,844,1116,118,145,136,212,150,15,18,155,44,61,96,311,8,2,101,97,52,111,206,2317,206,8,40,257,1,288,---,---,---,5,256,8,355,164,652,2094,6346,2462,1272,335,15,11209,2069,781,4069,5501,338,4018,357,831,3837,4932,853,585,3859,206,193,2577,498,86,18,34,21052,1050,90113,69538,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,159651
Pipeline transportation,---,---,392,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,392,---,---,---,---,---,---,267,---,---,---,---,---,---,---,---,---,---,---,---,659
Other transportation and support activities,---,62,33,384,3,7131,---,998,1035,168,71,13,0,3,12,---,257,165,559,61,---,660,372,788,156,741,81168,3475,1961,691,21480,28949,1044,3511,70268,1940,1160,42127,6304,1468,1029,138,6414,1276,5357,104,---,---,---,8901,722,1527,10865,807,3505,2001,688,3035,6534,473,1765,756,903,151,1748,1461,6,212,1290,1082,3968,345938,25250,---,---,---,---,---,16338,---,---,---,---,---,---,---,---,---,---,---,---,387527
Warehousing and storage,720,---,9,106,---,611,---,1289,1917,97,575,417,321,96,130,108,106,427,3745,1092,250,2620,894,769,2033,3508,39877,13534,8336,5885,39753,66,1,946,9288,420,311,1274,7089,541,293,492,2116,---,---,33,---,1,996,1664,205,408,1660,14,11962,401,230,955,2032,206,348,271,153,657,1649,907,440,1296,---,8885,173,187607,229,---,---,---,---,---,177,---,---,---,---,---,---,---,---,---,---,---,---,188013
"Publishing industries, except internet (includes software)",72,0,42,1,4,328,1520,40,1,22,86,47,73,1,37,321,11,37,12,---,0,8,51,6,27,10,5007,776,77,318,1242,13,71,---,48,46,---,684,163,65940,65,755,4064,725,1467,1010,102,0,1280,1000,1354,2435,7502,528,3163,47,1143,1842,2787,168,1211,87,145,185,319,772,104,2106,24,15034,526,129092,241855,---,230317,---,---,-3668,44914,---,---,7938,---,---,---,9363,---,---,---,20863,---,680675
Motion picture and sound recording industries,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,90,724,370,---,147,6,---,---,4,---,53,25,---,216,36920,55195,432,69,52,---,---,---,149,244,12,89,4799,455,125,---,850,99,31,1411,2508,494,112,972,6709,541,39,1736,69,782,---,116531,30771,---,52887,---,---,235,26331,---,---,---,---,---,---,---,---,---,---,---,---,226754
Broadcasting and telecommunications,398,6,505,72,146,875,6501,291,545,269,871,670,196,134,388,886,155,376,1222,66,40,264,353,62,426,398,10774,2243,653,357,5928,1076,69,140,1875,693,1468,1368,177,1934,469,92171,17369,9050,6706,2727,988,14,20107,3508,3149,3828,12087,1547,13268,1129,2377,5051,2520,1181,888,601,1475,4926,7135,5500,5647,6226,1317,69832,1405,349069,390126,7758,35532,---,---,---,12254,---,---,---,---,---,---,---,---,---,---,---,---,794740
